id,name,amenity,lat,lon
409,Gs25,,10.7672947,106.6866505
410,Chung cư Nguyễn Thái Bình,,10.7698311,106.7004139
411,Công viên 30/4,,10.77923035429604,106.6973776582395
412,Công viên 23 tháng 9,,10.76950439333642,106.69394422385675
413,Thảo Cầm Viên Sài Gòn,,10.787892328330285,106.70653594949685
414,Công viên Lê Văn Tám,,10.788222946601195,106.69377925985638
415,Co.op Mart,,10.767201884263006,106.68619127870215
416,Unknown,parking,10.769317628928963,106.69349165693684
417,Trường Đại học Khoa học xã hội và Nhân văn,university,10.786095205170813,106.70316332749391
418,Khoa Dược - Đại học Y Dược Thành phố Hồ Chí Minh,university,10.78494557975636,106.7020616445657
419,Unknown,,10.777158149999996,106.70261794999996
420,Công viên Chi Lăng,,10.777779736676662,106.70156242336326
421,Công viên Thương xá Tax,,10.77468064646587,106.70210806347164
422,Unknown,parking,10.783082420901094,106.70010388927018
423,Unknown,,10.783536383413354,106.70044365078529
424,Unknown,parking,10.780930473509814,106.69953038319419
425,Lavenue Crown Hotel,parking,10.781493789957382,106.69895315465641
426,Unknown,parking,10.777991291544952,106.70642537304538
427,Công viên Lê Lợi,,10.773956543636974,106.6995672161492
428,Trường Cao đẳng Kỹ thuật Cao Thắng,college,10.77159581855053,106.70157883983174
429,Unknown,,10.78316355,106.70186045
430,Trường Tiểu học Nguyễn Thái Học,school,10.767960632045323,106.69597114897071
431,Trường Tiểu học Nguyễn Bỉnh Khiêm,school,10.788374840587652,106.70411723556838
432,Bệnh viện Nhi đồng 2,hospital,10.781406904363793,106.70261078524982
433,Công viên Bách Tùng Diệp,,10.776462999862432,106.69918881509436
434,Trường Tiểu học Khai Minh,school,10.769168912733313,106.70039251939798
435,Bệnh viện Nhân dân Gia Định - cơ sở 2,hospital,10.771938087227008,106.6995179618204
436,Công trường Mê Linh,,10.775293983043072,106.70633408481007
437,Đại học Sài Gòn (cơ sở 2),university,10.783270955085294,106.70638877104943
438,Công viên Majestic Hotel,,10.772498733752345,106.70596342951522
439,Trường Trung Cấp Nghề TT Quản lý Khách Sạn Việt Úc,school,10.784062138647538,106.69893777029498
440,Unknown,,10.786701017518267,106.70472681496842
441,Unknown,,10.786754764073354,106.70524961420784
442,Unknown,parking,10.78713971285626,106.70153453032385
443,Trường Tiểu học Hoà Bình,school,10.778919251085831,106.69898793845043
444,Trường Trung học phổ thông Trưng Vương,school,10.78531756619857,106.70639974479353
445,Đại chủng viện thánh Giuse,college,10.784705101368923,106.70505833405348
446,Trường Quốc Tế American,school,10.75760905,106.68523394999998
447,Trường Trung học cơ sở Nguyễn Du,school,10.772809869978436,106.69396066666927
448,Bệnh viện Đa khoa Tân Định,hospital,10.790211060771886,106.6896256742255
449,Bệnh viện Từ Dũ,hospital,10.768822054663048,106.6858807317314
450,Trường Tiểu học Kết Đoàn,school,10.768474207949662,106.68850411748667
451,Trường Đại học Ngân hàng Thành phố Hồ Chí Minh,university,10.770293346503042,106.70405231756456
452,Nhạc viện Thành phố Hồ Chí Minh,university,10.774378869453036,106.69499965375236
453,Unknown,,10.768731847153655,106.70424860252821
454,Unknown,parking,10.76215438575617,106.68600071118863
455,Unknown,,10.762388162815677,106.68545394650559
456,Trường Tiểu học Đinh Tiên Hoàng,school,10.789397309198245,106.6979724713669
457,Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,university,10.765642548900281,106.68932450386893
458,Trường Tiểu học Trần Hưng Đạo,school,10.761560908364961,106.68912854349342
459,Bệnh viện Răng Hàm Mặt Thành phố Hồ Chí Minh,hospital,10.76347980905101,106.69189948445361
460,Trường Trung học phổ thông Bùi Thị Xuân,school,10.76906896748122,106.68814552518808
461,Trường ĐH Công nghệ,university,10.756654275938642,106.68870670752837
462,Công viên Bến Bạch Đằng,,10.77252245929323,106.70664020363164
463,Công viên Tao Đàn,,10.774646515951172,106.69289258342039
464,Unknown,parking,10.78994565,106.70442075
465,Unknown,,10.786544782423775,106.71294074776739
466,Vườn hoa Tượng đài Bác Hồ,,10.775987606121273,106.70158474241872
467,Unknown,,10.792338721433403,106.70287791246928
468,Unknown,,10.791350674929754,106.7053709352988
469,Cửa hàng Xăng dầu Petrolimex Số 01,fuel,10.784143999383817,106.6970603591719
470,Unknown,parking,10.789598249811489,106.69418031062223
471,Vinschool Golden River,school,10.786179577159576,106.71155153957774
472,Common area Aqua 2,,10.786522464887604,106.71138548312193
473,Trường Trung học cơ sở và Trung học phổ thông Trần Đại Nghĩa,school,10.779319464781677,106.70125657681062
474,Unknown,,10.776057760725955,106.70084444677737
