id,name,amenity,lat,lon
93,Unknown,parking,10.780103402839266,106.69567978029364
94,Unknown,parking,10.7805752,106.6961322
95,Đại học Kinh tế Thành phố Hồ Chí Minh - cơ sở D,university,10.791862272578584,106.68841442657197
96,Unknown,parking,10.790320996744013,106.70490506617799
97,Unknown,parking,10.790419329656816,106.70307924911391
98,Unknown,parking,10.779926792983392,106.70034941453932
99,Unknown,parking,10.772736651774995,106.70137716088018
100,Unknown,parking,10.770612717181002,106.69545693203867
101,Unknown,parking,10.76936542979131,106.69394600568427
102,Trường Tiểu học Trần Khánh Dư,school,10.794831586750297,106.69170223712145
103,Trường Tiểu học Đuốc Sống,school,10.790385585899084,106.69190174623937
104,Trường Tiểu học Nguyễn Huệ,school,10.770864539369155,106.69098322224002
105,Trường Tiểu học Trần Quang Khải (cơ sở 1),school,10.793243300736602,106.69335431828043
106,Trường Tiểu học Trần Quang Khải (cơ sở 2),school,10.789622602882798,106.69341304263804
107,Trường Tiểu học Phan Văn Trị,school,10.76694313770769,106.68439954637189
108,Trường Tiểu học Chương Dương,school,10.758560475206176,106.69115756290167
109,Trường Tiểu học Lê Ngọc Hân,school,10.772792241446771,106.68948534092804
110,Trường Trung học cơ sở Chu Văn An,school,10.765075725058782,106.68984828709891
111,Trường Trung học cơ sở Huỳnh Khương Ninh,school,10.789299903809614,106.69575312289552
112,Unknown,parking,10.787792071851763,106.70078218542689
113,Unknown,parking,10.786237650382423,106.70296218286506
114,Unknown,parking,10.774203215973314,106.70165026849894
115,Cửa hàng Xăng dầu Petrolimex Số 03,fuel,10.771413775486408,106.69517562149598
