id,name,amenity,lat,lon
1,Khách sạn Sofitel,,10.784146,106.7022474
2,Nhà Hàng Au Tresor,restaurant,10.772698,106.7048299
3,Trạm Xăng Dầu Số 9,fuel,10.7706834,106.6893379
4,Cửa Hàng Xăng Dầu Comeco,fuel,10.7905722,106.6942144
5,Unknown,fuel,10.7753118,106.7048514
6,Cửa Hàng Xăng Dầu Satra,fuel,10.7689585,106.6966613
7,Khách Sạn Tân Hải Long 3,,10.7719103,106.703742
8,Unknown,cinema,10.780808,106.6984465
9,Unknown,parking,10.7812499,106.6983279
10,Nhà Hàng Riverside Saigon,restaurant,10.7728736,106.7062835
11,Nhà Hàng Hai Lúa Sài Gòn,restaurant,10.7807008,106.7067111
12,Khách Sạn Riverside Saigon,,10.7738686,106.7063202
13,Khách Sạn Moonlight,,10.7804454,106.7075254
14,Nhà Hàng Wrap&Roll,restaurant,10.7732882,106.7040253
15,Khách Sạn 64,,10.7673604,106.6937183
16,Khách Sạn Sao Nam,,10.7687973,106.6942749
17,Khách Sạn Hà Vy,,10.7665393,106.6912556
18,Khách Sạn Cô Lợi,,10.7620278,106.6929627
19,Khách Sạn Dragon Palace,,10.7689864,106.6941859
20,Khách Sạn Liên Hà,,10.7679206,106.6948493
21,Khách Sạn Rạng Đông,,10.7725398,106.6912687
22,Nhà Hàng Crazy Buffalo,restaurant,10.767375,106.6941425
23,Nhà Hàng Pizza Fixme,restaurant,10.7680337,106.6938158
24,Nhà Hàng Đồ Ăn Việt Nam Aroma,restaurant,10.7684684,106.6938884
25,Bánh Canh Hoàng Ty,restaurant,10.7917311,106.6915979
26,Trường Đại Học Ngân Hàng,college,10.7704853,106.7047872
27,Khách Sạn Mifuki Boutique,,10.7718577,106.6951014
28,Khách Sạn Saigon Sports 3,,10.7685951,106.694409
29,Thuan Thien Hotel,,10.7717128,106.6956525
30,Nhà Hàng Vietnamese Kitchen,restaurant,10.7666137,106.6922676
31,Nhà Hàng Jaspas,restaurant,10.778168,106.7037041
32,Unknown,parking,10.7734144,106.6937048
33,Unknown,parking,10.7814261,106.6969159
34,Unknown,parking,10.7810892,106.6965647
35,Unknown,parking,10.7754919,106.6984902
36,Nhà Hàng Ấn Độ Curry Rice,restaurant,10.7762829,106.7042247
37,Nhà Hàng Halal Sai Gon,restaurant,10.7760297,106.7047293
38,Nhà Hàng Cung Đình Rex,restaurant,10.7754972,106.7007063
39,Unknown,parking,10.7761981,106.6977285
40,FamilyMart,,10.7692304,106.7001682
41,Nhà Hàng Tiệc Cưới 108 Nguyễn Du,restaurant,10.7754764,106.6956779
42,Nhà Hàng Alibaba,restaurant,10.7743953,106.7040996
43,Unknown,,10.7737618,106.704673
44,Khách Sạn Saigon Mini 5,,10.7665297,106.6918613
45,Cửa Hàng Xôi Chè Bùi Thị Xuân,restaurant,10.7675882,106.6863944
46,Circle K,,10.7709168,106.6894985
47,Shop&Go!,,10.7718769,106.6904496
48,Unknown,parking,10.7760071,106.702098
49,Circle K,,10.7796921,106.7007494
50,Nhà Hàng Bornga,restaurant,10.7788067,106.7020073
51,Unknown,parking,10.7771916,106.6962032
52,Unknown,parking,10.7720545,106.697625
53,Quán Phở 2000,restaurant,10.7718157,106.697747
54,Nhà Hàng Lion Beer,restaurant,10.776619,106.7039069
55,Nhà Hàng Ngon,restaurant,10.7773464,106.6996325
56,Nhà Hàng Rơm BBQ,restaurant,10.7736789,106.6992615
57,Phở 24,restaurant,10.7718553,106.6975823
58,Khách Sạn Metropole,,10.7740734,106.7055809
59,Nhà Hàng Nướng Barbecue Garden,restaurant,10.7748184,106.6992492
60,Grand Hotel,,10.773628,106.705911
61,Phở Bắc Hải,restaurant,10.7838752,106.6992161
62,Cửa Hàng Thời Trang M&B,,10.7838908,106.6988927
63,Nhà Hàng Pháp Hoa,restaurant,10.767809,106.688677
64,Unknown,parking,10.7871712,106.7046796
65,Unknown,parking,10.7870396,106.7044597
66,Bún Bò Huế Gia Hội,restaurant,10.78415,106.6975046
