id,name,amenity,lat,lon,road_node
255,Trạm trung chuyển Hàm Nghi,,10.7709777,106.7008529,11287006566
256,Trạm trung chuyển Hàm Nghi,,10.7710347,106.6999115,9591636815
257,Trạm trung chuyển Hàm Nghi,,10.771049,106.6994948,9591636815
258,Trạm trung chuyển Hàm Nghi,,10.7711574,106.6994198,9591636815
259,Trạm trung chuyển Hàm Nghi,,10.7711007,106.6994943,9591636815
260,Trạm trung chuyển Hàm Nghi,,10.7710925,106.6999191,9591636815
261,Chợ Cũ,,10.7709914,106.7030831,411918867
262,Trường Cao đẳng Kỹ Thuật Cao Thắng,,10.7710549,106.7018406,6747284158
263,Trần Đình Xu,,10.762287,106.6902514,9404261879
264,Phòng Cảnh sát Phòng cháy Chữa cháy,,10.760673,106.6890393,2032267468
265,Nam Kỳ Khởi Nghĩa,,10.7708611,106.7015057,6747284158
266,Chợ Cũ,,10.7708361,106.7019523,411918860
267,Đại Học Mở Thành phố Hồ Chí Minh - Mai Thị Lựu,university,10.7902129,106.700297,411918485
268,Circle K,,10.7792725,106.7046884,4605180970
269,Nhà xe Tâm Hạnh - Nguyễn Cư Trinh,parking,10.7631519,106.688613,6789409966
270,Grove Fresh,,10.7680881,106.6845432,411925910
271,Bệnh viện Quận 1 (cơ sở 2),hospital,10.7651115,106.6932273,5781158289
272,Circle K,,10.7910951,106.6911149,411925901
273,GS25,,10.7870002,106.7113903,7499929047
274,Unknown,,10.7885039,106.691255,13075589603
275,Unknown,,10.7773144,106.7055429,411919045
276,Unknown,,10.7643579,106.6913177,5780842950
277,7-Eleven,,10.7745392,106.7057152,6747199447
278,116 Culture Luxury,,10.7684748,106.6986624,411926577
279,Kumho Samco Buslines,,10.7678614,106.6916462,4615523688
280,Hahn Café,,10.7680298,106.6921517,4615523688
281,Unknown,,10.7727408,106.6968917,411926429
282,Unknown,,10.7681437,106.6920971,4615523688
283,Unknown,,10.7672169,106.692785,4597095606
284,Siêu thị Bách hoá XANH,,10.7656009,106.6947703,411921324
285,Unknown,,10.7822529,106.7059532,9457086585
286,WinMart,,10.7782504,106.7020738,411926701
287,Ngã sáu Phù Đổng,,10.7708507,106.6938218,4610643513
288,Nguyễn Thị Nghĩa,,10.7708393,106.6936333,4610643513
289,Nguyễn Trãi,,10.7710326,106.6927759,4666207251
290,Khách sạn Golden,,10.7732966,106.6961893,7461707636
291,Trường Trung học Phổ thông Ernst Thälmann,,10.7687864,106.6959537,6789351757
292,Bệnh viện Răng Hàm Mặt,,10.7639299,106.6917049,12585027141
293,Bệnh viện Răng Hàm Mặt,,10.7636355,106.6916529,6788469897
294,Ký túc xã Trần Hưng Đạo,,10.7671569,106.6947089,9404261907
295,Trạm trung chuyển Hàm Nghi,,10.7709376,106.700515,411917839
296,Bưu điện Thành phố,,10.7806054,106.7006741,411926624
297,Sở Công Thương,,10.784299,106.6964768,2231187556
298,Chợ Tân Định,,10.7904513,106.6887854,10734733576
299,Lê Duẩn,,10.7819798,106.6990284,411918714
300,Bệnh viện Nhi đồng 2,,10.7793394,106.7018959,411926594
301,Nhà hát Thành phố,,10.7778905,106.7035256,411926702
302,Công trường Mê Linh,,10.7759881,106.7056045,411925962
